chr,start,end,strand,gene_id,name,product,note,highlight
Ss04,68511809,68512660,-,AYBTSS11_015160,Spste.TSs11.04G151600.1,hypothetical protein,"COG:S,EggNog:ENOG503GCIB",
Ss04,68524314,68527040,-,AYBTSS11_015161,Spste.TSs11.04G151610.1,hypothetical protein,"COG:S,EggNog:ENOG503G9EY",
Ss04,68551455,68552520,+,AYBTSS11_015162,Spste.TSs11.04G151620.1,hypothetical protein,"COG:S,EggNog:ENOG503GJQZ",
Ss04,68554165,68554942,+,AYBTSS11_015163,Spste.TSs11.04G151630.1,hypothetical protein,"COG:S,EggNog:ENOG503GJQZ",
Ss04,68576652,68577409,+,AYBTSS11_015164,Spste.TSs11.04G151640.1,hypothetical protein,"EggNog:ENOG503G7R6,COG:S",
Ss04,68577987,68578981,+,AYBTSS11_015165,Spste.TSs11.04G151650.1,hypothetical protein,"EggNog:ENOG503G7R6,COG:S",
Ss04,68581192,68583115,+,AYBTSS11_015166,Spste.TSs11.04G151660.1,hypothetical protein,"EggNog:ENOG503G7R6,COG:S",
Ss04,68584213,68585613,-,AYBTSS11_015167,Spste.TSs11.04G151670.1,hypothetical protein,,
Ss04,68585721,68587527,+,AYBTSS11_015168,Spste.TSs11.04G151680.1,hypothetical protein,"EggNog:ENOG503G7R6,COG:S",
Ss04,68589294,68591134,+,AYBTSS11_015169,Spste.TSs11.04G151690.1,hypothetical protein,"COG:J,EggNog:ENOG50KOG1577",
Ss04,68606489,68607949,+,AYBTSS11_015170,Spste.TSs11.04G151700.1,hypothetical protein,"COG:S,EggNog:ENOG503GFT7",
Ss04,68614308,68617000,-,AYBTSS11_015171,Spste.TSs11.04G151710.1,hypothetical protein,"COG:S,EggNog:ENOG503GEVM",
Ss04,68617085,68618493,+,AYBTSS11_015172,Spste.TSs11.04G151720.1,hypothetical protein,"COG:S,EggNog:ENOG503GFT7",
Ss04,68619678,68624918,-,AYBTSS11_015173,Spste.TSs11.04G151730.1,hypothetical protein,"COG:S,EggNog:ENOG503GEVM",
Ss04,68630620,68632000,+,AYBTSS11_015174,Spste.TSs11.04G151740.1,hypothetical protein,"COG:S,EggNog:ENOG503GFT7",
Ss04,68634386,68638307,-,AYBTSS11_015175,Spste.TSs11.04G151750.1,hypothetical protein,"COG:S,EggNog:ENOG503GD6K",
Ss04,68644831,68651507,-,AYBTSS11_015176,Spste.TSs11.04G151760.1,hypothetical protein,"COG:S,EggNog:ENOG503GD6K",
Ss04,68652633,68655281,-,AYBTSS11_015177,Spste.TSs11.04G151770.1,hypothetical protein,"COG:E,EggNog:ENOG503GG33",
Ss04,68658806,68664267,-,AYBTSS11_015178,Spste.TSs11.04G151780.1,hypothetical protein,"COG:T,EggNog:ENOG503GDEN",
Ss04,68669791,68671044,-,AYBTSS11_015179,Spste.TSs11.04G151790.1,hypothetical protein,"COG:T,EggNog:ENOG503GDEN",
Ss04,68671435,68674488,+,AYBTSS11_015180,Spste.TSs11.04G151800.1,hypothetical protein,,
Ss04,68676362,68680175,+,AYBTSS11_015181,TMN3_2,Cellular adhesion and filamentous growth protein,"EggNog:ENOG503GC6Y,COG:U",
Ss04,68689798,68692237,-,AYBTSS11_015182,Spste.TSs11.04G151820.1,hypothetical protein,"EggNog:ENOG503GFME,COG:K",
Ss04,68702620,68703213,+,AYBTSS11_015183,ATSTE14B,protein-S-isoprenylcysteine O-methyltransferase,"COG:O,EggNog:ENOG503GD8H",
Ss04,68703348,68714469,-,AYBTSS11_015184,DPB2,"DNA-directed DNA polymerase epsilon, subunit B","COG:L,EggNog:ENOG503G7UX",
Ss04,68714874,68716709,-,AYBTSS11_015185,Spste.TSs11.04G151850.1,hypothetical protein,"EggNog:ENOG503GCM6,COG:S,BUSCO:EOG09360DI6",
Ss04,68717850,68722964,-,AYBTSS11_015186,Spste.TSs11.04G151860.1,hypothetical protein,"COG:E,EggNog:ENOG503GG33",
Ss04,68724791,68728335,-,AYBTSS11_015187,Spste.TSs11.04G151870.1,hypothetical protein,"COG:E,EggNog:ENOG503GG33",
Ss04,68731054,68733306,+,AYBTSS11_015188,Spste.TSs11.04G151880.1,hypothetical protein,"COG:S,EggNog:ENOG503G7IK",
Ss04,68733593,68739501,-,AYBTSS11_015189,Spste.TSs11.04G151890.1,hypothetical protein,,
Ss04,68740380,68746160,+,AYBTSS11_015190,Spste.TSs11.04G151900.1,hypothetical protein,"COG:P,EggNog:ENOG503GAN9",
Ss04,68753586,68758751,+,AYBTSS11_015191,CNGC20,"Probable cyclic nucleotide-gated ion channel 20, chloroplastic","COG:P,EggNog:ENOG503GAN9",
Ss04,68759677,68773023,+,AYBTSS11_015192,Spste.TSs11.04G151920.1,hypothetical protein,"COG:P,EggNog:ENOG503GAN9",
Ss04,68784119,68789780,+,AYBTSS11_015193,Spste.TSs11.04G151930.1,hypothetical protein,"COG:P,EggNog:ENOG503GAN9",
